Cname,Csn,Class,District,Department,Establishment,Num_member,Num_recruit,Activity_time,Phone,Homepage,Room,Csid
SEED KAIST,1,Undergraduate Clubs Union,Religion & Society,Society,2017,32,10-12,MON 22:00-22:30,010-2691-5960,https://www.facebook.com/seedkaist,NULL,20150722
Pannorm,2,Undergraduate Clubs Union,Culture,Culture,2016,20,1~,WED 21:00-21:30,010-9540-1003,,N12-1 #3106,
ILLUSION,3,Undergraduate Clubs Union,Art,Performing Art,1997,45,21~,,010-9166-6908,,N13 #2101,
Bittara,4,Undergraduate Clubs Union,Art,Creative Art,1985,29,16-20,,010-9185-6232,https://www.facebook.com/kaistbittara,N12 #2106,
Twilight,5,Undergraduate Clubs Union,Music,Band Music,1989,18,06-10,,010-2325-9682,,N12-1 #B108,
MUSE,6,Undergraduate Clubs Union,Music,Vocal Music,1986,33,16-20,,010-4917-9064,https://www.facebook.com/muse.kaist,N12-1 #B109,
PIAST,7,Undergraduate Clubs Union,Music,Instrumental Music,2011,50,21~,THU 21:00-21:30,010-2608-9110,https://www.facebook.com/KaistPIAST,N12-1 #B105-6,
Sanaree,8,Undergraduate Clubs Union,Religion & Society,Religion,1986,20,1~,MON 21:00-21:30,010-4054-9243,https://www.facebook.com/kaistsanarae,N13 #3115,
Team Tu,9,Undergraduate Clubs Union,Sport,Ball Sport,2003,40,16-20,,010-6606-7287,,N13 #3120,
Polar Bear,10,Undergraduate Clubs Union,Sport,Life Sport,2007,48,06-10,,010-3587-9066,https://www.facebook.com/judokaist,NULL,
ZILZU,11,Undergraduate Clubs Union,Academic,Science & Engineering,1999,20,11-15,,010-5610-0866,https://www.facebook.com/KAISTZILZU,N13 #3103,
KFAC,12,Undergraduate Clubs Union,Academic,Liberal Arts,2006,15,11-15,,010-5009-6070,https://www.kfac.kr,N13 #3116,
ELKA,13,Student Organization,Cheerleading,,2005,,,,042-350-0328,http://elka.kaist.ac.kr/xe/,N13 #3122,
Kainuri,14,Student Organization,KAIST Ambassador,,2006,,,,,http://kainuri.kaist.ac.kr/,E11 #505,
KAIST Orchestra,15,Student Organization,Music,,1992,120,,,,,W2 2F,
VOK,16,Student Organization,Broadcast,,1986,,,,,http://voki.kaist.ac.kr/,,
Kaldi,17,Undergraduate Clubs Union,Culture,Culture,2012,45,11-20,,010-4189-1352,https://www.facebook.com/kaistcoffee,N12 #3105,
Manshinjangi,18,Undergraduate Clubs Union,Art,Performing Art,2007,20,11-15,,010-3808-9036,https://www.facebook.com/manshinKAIST,N13 #3114,
MindFreak,19,Undergraduate Clubs Union,Art,Performing Art,2006,36,21~,TUE 22:00-22:30,010-3291-3337,https://www.facebook.com/MFkaist,N12-1 #3107-8,
Starflower,20,Undergraduate Clubs Union,Art,Creative Art,1987,34,16~,MON 22:00-22:30,010-5349-0645,https://www.facebook.com/starflower.kaist,N13 #3101,
CJDH,21,Undergraduate Clubs Union,Music,Band Music,1987,16,8,,010-4470-9946,https://www.facebook.com/KAISTCJDH,N13 #1110,
SixLine,22,Undergraduate Clubs Union,Music,Vocal Music,1989,19,21~,,010-2887-7871,https://www.youtube.com/wearesixline,N12-1 #B107,
Tteoieonire,23,Undergraduate Clubs Union,Music,Instrumental Music,1987,21,06-20,,010-7121-5203,https://www.facebook.com/KAISTKoreanTraditionalOrchestra,N13 #3105,
EWB-KAIST,24,Undergraduate Clubs Union,Religion & Society,Society,2012,25,06-10,,,http://ewb.kaist.ac.kr,N13 #3107,
IVF,25,Undergraduate Clubs Union,Religion & Society,Religion,1986,50,1~,,010-7552-8280,http://www.ivf.or.kr,N13 #3119,
SlimDunk,26,Undergraduate Clubs Union,Sport,Ball Sport,2016,16,11-15,SUN 20:00-22:00,010-2546-4368,https://www.facebook.com/½½¸²µ¢Å©-247249732351451/,,
Active Volcano,27,Undergraduate Clubs Union,Sport,Life Sport,1986,26,06-10,,010-5024-4814,https://www.facebook.com/kaistactivevolcano,N3 #103,
Forest,28,Undergraduate Clubs Union,Academic,Science & Engineering,2017,21,06-10,MON 20:00-20:30,010-8781-9310,https://www.facebook.com/KAIST.forest,N13 #3117,
