Cname,Csn,Class,District,Department,Establishment,Num_member,Num_recruit,Activity_time,Homepage,Room,Csid
SEED KAIST,1,Undergraduate Clubs Union,Religion & Society,Society,2017,32,10-12,MON 22:00-22:30,https://www.facebook.com/seedkaist,NULL,20150722
The Ultimate Taste,2,Undergraduate Clubs Union,Culture,Culture,2015,40,11-15,,https://www.facebook.com/goongmat/,N12-1 #301,20150880
Maek,3,Undergraduate Clubs Union,Culture,Culture,1987,16,11-15,WED 21:00-21:30,,,20150531
Shangrila,4,Undergraduate Clubs Union,Culture,Culture,1992,29,11-15,THU 21:00-21:30,,N13 #3108,20150722
Pretty Movie,5,Undergraduate Clubs Union,Culture,Culture,1994,30,11-15,WED 20:00-20:30,https://www.facebook.com/prettymovie/,N13 #1112,20150880
Kaldi,6,Undergraduate Clubs Union,Culture,Culture,2012,45,11-20,,https://www.facebook.com/kaistcoffee,N12 #3105,20150531
Pannorm,7,Undergraduate Clubs Union,Culture,Culture,2016,20,1~,WED 21:00-21:30,,N12-1 #3106,20150722
OPTeamus,8,Undergraduate Clubs Union,Culture,Culture,2012,28,06-15,MON 22:00-22:30,,N13 #3112,20150880
THE MIXER,9,Undergraduate Clubs Union,Culture,Culture,2003,25,11-15,,,N13 #3014,20150531
Manshinjangi,10,Undergraduate Clubs Union,Art,Performing Art,2007,20,11-15,,https://www.facebook.com/manshinKAIST,N13 #3114,20150722
Ibagutor,11,Undergraduate Clubs Union,Art,Performing Art,1996,40,06-10,,https://www.facebook.com/ibagutor,N13 #3109,20150880
ILLUSION,12,Undergraduate Clubs Union,Art,Performing Art,1997,45,21~,,,N13 #2101,20150531
Lunatic,13,Undergraduate Clubs Union,Art,Performing Art,2004,100,30-40,,https://www.facebook.com/KAIST.RealLunatic,N12 #2107,20150722
MindFreak,14,Undergraduate Clubs Union,Art,Performing Art,2006,36,21~,TUE 22:00-22:30,https://www.facebook.com/MFkaist,N12-1 #3107-8,20150880
Number,15,Undergraduate Clubs Union,Art,Performing Art,2015,25,11-15,,https://www.facebook.com/numberkaist,N12 #2101,20150531
